CHAPA,PARES,L5,M5,R5,PADRAO,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25
4x3,6,BEFGK,MOPQR,STUVW,0100111000101011111111100,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0
5x4,8,BDEFH,KMOPS,TUVWX,0101110100101011001111110,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0
7x3,5,ABCFG,IJKLM,STUWY,1110011011111000001110101,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1
6x3,6,ACEFG,HKMNP,QTUVW,1010111100101101100111100,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0
5x5,7,ABDHI,KLMOP,UVWXY,1101000110111011000011111,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1
6x2,7,ABCFG,IKLNQ,RSTWX,1110011010110100111100110,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0
7x3,11,BDEFG,HILNP,RTUVX,0101111110010101010111010,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0
8x1,7,BCDEF,GHILM,OPRSY,0111111110011011011000001,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1
4x3,7,ABEIL,MNOPQ,STVWX,1100100010011111101101110,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0
7x3,7,ABCDF,GHKLQ,STUVY,1111011100110000101111001,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1
4x1,8,CDEFK,LMNOP,QRSTV,0011110000111111111101000,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
7x2,5,ACEFG,HJKMN,OSTWY,1010111101101110001100101,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1
6x4,7,ABCDE,HKPQR,SVWXY,1111100100100001111001111,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1
4x3,6,ADEIK,LMNOP,STVWY,1001100010111111001101101,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1
5x2,6,ACGHI,KMNOP,QRTXY,1010001110101111110100011,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1
4x4,8,DHIJK,LMPQS,TUVXY,0001000111111001101111011,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1
8x2,7,ABCFG,HIJMN,QRTWY,1110011111001100110100101,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1
5x4,7,ABDGJ,OPQRS,TUVWY,1101001001000011111111101,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
5x4,9,ABDHJ,KNOPQ,TUVWX,1101000101100111100111110,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0
5x4,7,EGHIJ,KLMOP,TUVWX,0000101111111011000111110,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0
9x3,7,ABCEF,GHIJL,PQVWY,1110111111010001100001101,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1
6x3,6,ADGHI,JKOQR,STUWX,1001001111100010111110110,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0
7x2,8,ABCEF,IJLNO,PSTXY,1110110011010111001100011,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1
6x3,6,ACEFH,IKMNO,PRUVW,1010110110101111010011100,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0
5x3,6,ABEGH,KLMOP,QRWXY,1100101100111011110000111,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1
5x2,5,ABEGJ,KMNOP,QRSUY,1100101001101111111010001,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1
7x3,7,ABCDE,FHKMO,PRVWY,1111110100101011010001101,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1
8x1,6,ACDEF,GHJKM,OPQTY,1011111101101011100100001,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1
6x3,4,ACEHI,JLMOP,QSUWY,1010100111011011101010101,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1
6x4,9,BCDFH,IKNQR,TUVXY,0111010110100100110111011,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1
7x1,7,ABCEF,GHLMO,PQRTW,1110111100011011110100100,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0
5x4,7,ABCEI,LNOQR,TVWXY,1110100010010110110101111,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1
8x2,7,ABCDE,GIJNO,QRTVY,1111101011000110110101001,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1
8x1,5,ABCDE,FGJKM,OPQSU,1111111001101011101010000,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0
6x2,7,ADEFH,ILMOQ,RSTVW,1001110110011010111101100,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0
7x3,8,ABCEF,HJKLM,NTWXY,1110110101111100000100111,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1
5x4,9,ABDFH,LOPQS,TVWXY,1101010100010011101101111,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1
6x3,6,ABEGH,IKMNO,PRUVW,1100101110101111010011100,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0
6x3,8,BDEFH,ILMNQ,RSWXY,0101110110011100111000111,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1
7x3,7,ABCEH,IJKMO,RTVXY,1110100111101010010101011,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1
7x2,8,ABDEH,IJKLN,QRSXY,1101100111110100111000011,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1
2x5,6,AFKLM,OPQST,UVWXY,1000010000111011101111111,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
5x5,7,ABCHJ,KLOQT,UVWXY,1110000101110010100111111,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1
4x3,7,ADIJK,LMNOP,QTVWY,1001000011111111100101101,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1
5x3,9,ABDFH,LMNOQ,RSUVX,1101010100011110111011010,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0
7x3,7,BDEFG,IJMQR,STUWX,0101111011001000111110110,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0
4x4,8,BDHIK,LMOPQ,RUVWX,0101000110111011110011110,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0
6x1,8,ABCDE,JKLNO,QRSTV,1111100001110110111101000,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0
5x4,9,CDFIJ,LNPQR,SUVWX,0011010011010101111011110,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0
4x4,8,CDFJL,MNOQS,TVWXY,0011010001011110101101111,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1
6x4,8,ABEFH,JKOQR,TVWXY,1100110101100010110101111,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1
6x3,7,ABCDG,JKMNP,QTUXY,1111001001101101100110011,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1
6x3,7,ACDHI,JKLMN,PQVWY,1011000111111101100001101,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1
6x3,6,ACFGI,JMNPQ,STUWX,1010011011001101101110110,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0
7x4,6,ABCDG,IJKLR,SUVWY,1111001011110000011011101,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1
8x3,7,ABCDE,GHJKP,QRVWY,1111101101100001110001101,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1
4x4,7,EFGJK,MNOPR,SUVXY,0000111001101111011011011,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1
6x3,6,DFGHI,JKLMO,QSUVY,0001011111111010101011001,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1
7x3,7,ABCDE,FJLMN,OQVWY,1111110001011110100001101,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1
7x3,6,ACDFG,HIKLO,QRUXY,1011011110110010110010011,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1
6x3,8,ABDGH,IKLNO,PRVWY,1101001110110111010001101,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1
5x4,5,ACEGI,KLMPR,TUWXY,1010101010111001010110111,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1
5x4,6,ACDEF,LMNQS,TUVWY,1011110000011100101111101,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1
4x4,6,AEFJK,LMOQR,SUVXY,1000110001111010111011011,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1
6x2,7,ABCDF,JKNOQ,RSTUW,1111010001100110111110100,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0
6x3,8,ABDEF,HKLMN,STUXY,1101110100111100001110011,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1
8x4,8,ABCFG,HIJKN,TUVXY,1110011111100100000111011,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1
6x2,6,ADEFG,IKLMP,QRTUY,1001111010111001110110001,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1
4x3,7,ABIJK,LMNPR,STUWY,1100000011111101011110101,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1
5x2,6,EFGIJ,KLMNO,QRTWY,0000111011111110110100101,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1
5x4,9,BDEFH,LMNOR,SUVWX,0101110100011110011011110,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0
6x4,8,ADFHI,JKOQR,TUVWX,1001010111100010110111110,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0
5x2,6,ACEGH,KLMOP,RSTUX,1010101100111011011110010,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0
7x3,7,ABDEG,IJKLP,QRWXY,1101101011110001110000111,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1
7x3,7,ABDEH,IJMOQ,RTVWY,1101100111001010110101101,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1
4x4,7,DEFGK,LMQRS,TUVWX,0001111000111000111111110,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0
6x3,8,BCDFG,INOPR,STUXY,0111011010000111011110011,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1
7x4,8,BCDFG,IJKLO,PUVXY,0111011011110011000011011,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1
7x4,9,ABCDF,GHMNP,RUVXY,1111011100001101010011011,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1
7x3,6,ABCDE,GJKLM,RSVWY,1111101001111000011001101,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1
4x3,6,BCDFK,MNOPQ,STUWY,0111010000101111101110101,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1
5x4,5,BEFGI,KMORS,TUVWY,0100111010101010011111101,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1
7x3,6,BCDEF,IJLMO,QSWXY,0111110011011010101000111,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1
6x3,7,BDEFG,HKLMO,STVWY,0101111100111010001101101,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1
7x3,5,ACDEG,IJKNO,PQVWY,1011101011100111100001101,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1
6x3,5,ACDEH,IKMOR,STUVW,1011100110101010011111100,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0
6x2,6,ACEGH,JKLMN,PQSVY,1010101101111101101001001,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1
6x3,7,ABEGH,JMNOR,STUVY,1100101101001110011111001,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1
6x4,6,ABCEF,ILMNO,QUVWX,1110110010011110100011110,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0
5x2,8,BFHIJ,KLMPQ,RSTUY,0100010111111001111110001,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1
6x4,6,BCDEG,HKMOP,QUVXY,0111101100101011100011011,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1
4x4,7,ABGIL,NOPQR,SUVWX,1100001010010111111011110,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0
6x3,9,ABCFI,JLMOP,RTVXY,1110010011011011010101011,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1
6x2,7,ACGHI,JLMPQ,RSTXY,1010001111011001111100011,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1
7x3,7,ABDEF,GIOPQ,RSVWX,1101111010000011111001110,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0
4x5,5,ABHIK,MOPQS,UVWXY,1100000110101011101011111,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1
5x4,7,ABDGI,KLNQS,TUVXY,1101001010110100101111011,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1
5x3,7,ABCIJ,KMNOQ,RTVXY,1110000011101110110101011,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1
5x4,8,ABEHJ,KLMNP,QVWXY,1100100101111101100001111,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1
6x4,7,ABDEF,JKLMP,SUVWY,1101110001111001001011101,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1
6x4,8,ABDEH,ILMPQ,TUVXY,1101100110011001100111011,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1
5x3,6,BEGIJ,MOPQR,STWXY,0100101011001011111100111,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1
7x5,5,ACEFG,HIKNS,UVWXY,1010111110100100001011111,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1
6x2,8,CDEGI,JKLMN,PRTWX,0011101011111101010100110,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0
6x4,6,CDEFG,HMOQS,TVWXY,0011111100001010101101111,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1
5x4,7,ABDEH,KLMQR,TUWXY,1101100100111000110110111,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1
7x2,7,ABCEF,IJKMN,OPRWX,1110110011101111010000110,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0
5x3,10,BDEHJ,KNOPR,STUVX,0101100101100111011111010,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0
6x2,7,ACDHI,JKLMN,OSTVW,1011000111111110001101100,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0
7x3,9,ABDFG,IJLNP,RSUXY,1101011011010101011010011,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1
5x2,8,BGHIJ,KLOPQ,RSTVW,0100001111110011111101100,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0
8x2,8,ABCDE,FHJKN,OQTXY,1111110101100110100100011,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1
5x2,7,ACDIJ,KLNOP,QSTUX,1011000011110111101110010,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0
3x5,6,AEHKM,OPQRT,UVWXY,1000100100101011110111111,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1
7x2,9,ABCDE,FHKLM,PRTWX,1111110100111001010100110,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0
7x4,5,ABCEF,GIMNO,TUWXY,1110111010001110000110111,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1
7x4,8,ABCEF,HJKNO,RUVWX,1110110101100110010011110,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0
